Silpi Köyünde	НАРСПИ
Böyle mutlu günlerde	Савӑнӑçлa кунсенче
Kuş sesi  insan sesi	Кайӑк юрри çын сасси
Yankılanır her yanda	Ян ян ярать таврана
Mutluluk şarkıları	Çypкyннexи хавас юрӑ
Ulaşır kulaklara	Килсе кӗрет хӑлхана
Sokaklarda insanlar	Урам тӑрӑх çыннисем
Bey gibi geziniyor	Улпут пекех утаççӗ
Evlerinin ardında	Пўрт хыçӗнче шавласа
Çocuklar oynaşıyor	Ачи пӑчисем выляççӗ
Al yanaklı güzeller	Нар пек хитре хӗрӗсем
Kuğu gibi süzülür	Акӑшсем пек утаççӗ
Şıngır şıngır takılar	Чӑнк ӑр чанкӑр тенкисем
Yıldır yıldır görünür	Йӑлтӑртатса пыраççӗ
Yeri sarsan yiğitler	Çӗp çӗмӗрсе каччӑсем
Dans eder kapılarda	Ташлать хапха умӗнче
Yaşamak  ah ne güzel	Пурӑнӑçсем ах аван
Büyük Silpi köyünde	Аслӑ Силпи ялӗнче
Bu aydınlık dünyada	Çaкӑ çута тӗнчере
İnsandan güçlü yoktur	Вӑйли çук та этемрен
Suların ve yerlerin	Шывсем çинче çӗр çинче
Tek efendisi odur	Ху çа пулса вӑл тӑрать
Fakat güçlü insan da	Анчах вӑйлӗ этем те
Kendi nefsine esir	Хӑй тӗнчине пӑхӑнать
Para ve şarap ile	Ук çanала эрехех
Yoldan da çıkabilir	Çыннa ӑсран кӑларать
Büyük kalĭm haftası	Аслӑ калӑм эрнинче
Çuvaş nasıl içmesin	Мӗнле чӑваш ӗçмен ши
Derin mahzen içinde	Тарӑн нўхреп ӑшӗнче
İçki nasıl bitmesin	Мӗн чухлӗ сӑра пӗтмен ши
Yedi de o  içti de	Ӗçнӗ те çaв çинӗ те
Dansetti halka halka	Йӗркипеле сикнӗ те
Bundan başka ne türlü	Унсӑр nyçнe еплелле
Kutlanabilir bayram	Тӑвас тетӗн npaçникe
Gün geçtikçe sokakta	Кун иртнӗçем урамра
Artar sarhoş insanlar	118 ўсӗр çынceм нумайрах
Geceleyin ormana	Kaç пулнӑçем вӑрмана
Çokça gider naralar	Сасӑ кять хытӑрах
Akşama dek içip de	Ӗçе ӗçе каçалла
Sarhoş Çuvaş yorulur	ўсӗр чӑваш ывӑнать
İlkyazın çamuru da	Çypкyннexи пылчӑк та
Yatak gibi görünür	Канма çeмçe туйӑнать
Bey gibi yatar Çuvaş	Выртать чӑваш улпут пек
Nerededir  düşünmez	Шухӑшламасть ӑçтине
Bütün sokak boyunca	Пӗтӗм урам тӑрӑшшӗпе
Türküsü de hiç dinmez	Кӑшкӑрать хӑй юррине
Çokça çalış  çokça ye	Нумай ӗçле нумай çн
Çokça terle  çokça iç	Хытӑ тарла хытӑ ӗç
Şarap dersen Çuvaşa	Эрех тесен ӗç çынни
Reddedemez onu hiç	Нихӑшӗ те тиркемест
Vakti gelir çalışır	Вӑхӑчӗпе ӗçлӗпӗр
Vakti gelir içeriz	Вӑхӑчӗпе ӗçӗпӗр
Evde içkimiz yoksa	Килте ӗçме пулмасан
Komşulara gideriz	Куршӗ патне кӗрӗпӗр
Yoksa içki komşuda	Кўршӗн ӑçмe пулмасан
Ayranla yetiniriz	Уйранне те ӗçӗпӗр
Ayran da olmayınca	Уйранӗ те пулмасан
Tanrımızdan bekleriz	Typӑ парасса кӗтӗпӗр
Kalĭm geçer  kar biter	Калӑм иртет юр пӗтет
İlkyazki ekin erer	Çypxи суха та çитeт
Çuvaş hemen ayılmaz	Чӑваш часах урӑлмасть
Mahmurluğu dağılmaz	Мухмӑр иртсе каяймасть
Haydi sarhoş Çuvaşlar	Ӗнтӗ ўсӗр чӑвашсем
Kalkın artık ayağa	Урӑр çине тӑрӑр ха
Yemyeşil yüce dağlar	Ем ешӗлех çўл тусем
Su çekilmiş ırmakta	Шыв та чакнӑ çырмара
Ey kardeşlerim kalkın	Эй пиччесем тӑрӑр ха
Sağa sola bakının	Урлӑ пирлӗ пӑхӑр ха
Çalışmak gibi var mı	Ака пуçне тўрлетес
Tamir et arabanı	Урапуна тирпейлес
Soğuk su insanların	Сивӗ шывпа çӑвӑнсан
Yüzüne renk getirir	Питне куçне тӗс кӗтӗр
Karnını iyi doyur	Авантарах апатлан
Gücüne güç getirir	Ака тума вӑй кӗтӗр
Şimdi atını koşar	Кулес ӗнтӗ лашана
Tarlaya çıkıp gider	Тухса каяс акана
Tanrım bana sağIık ver	Турӑçӑм сывлӑх пар
Ürünüme bereket	Акнӑ тыррӑма ӑнтар
Sarı Kız	Сарӑ Хӗр
Yeşil çimler içinde	Ешӗл курӑк хушшинче
Sapsarı çiçek büyür	Сап сарӑ чечек ўсет
Büyük Silpi köyünde	Аслӑ Силпи ялӗнче
Narspi adlı kız büyür	Нарспи ятлӑ хӗр усет
Yüzü gözü pek güzel	Пичӗ куçӗ пит хўхӗм
San çiçekler gibi	Хирти сарӑ чечек пек
Kapkara iki gözü	Икӗ куçӗ хуп хура
Kara boncuklar gibi	Икӗ хура шӑрçа пек
Salınıyor ardında	Явӑнаççӗ хыçалта
Saçının örgüleri	Çивӗт вӗçӗ катрисем
Bir edayla yürür de	Утса утса пынӑ чух
Şıngırdar takıları	Шӑнкӑртатать тенкисем
Göz ucuyla bakınca	Куçӗсемпе пӑхнӑ чух
Yürekleri hoplatır	Каччӑн чӗри çӗкленет
Narspi bir de gülünce	Çўxe тути кулнӑ чух
Hangi gençte can kalır	Каччан чунӗ çемçелет
Sarı kır çiçeğine	Хирти capӑ чечеке
Kim sevgiyle bakmaz ki	Ӑшӑ куçпа кам пӑхмӗ
Böyle güzel bir kızı	Ун пек лайӑх хитре хӗре
Gençler nasıl sevmez ki	Мӗнле качча юратмӗ
Güneş kaybolduğunda	Хӗвел анса ларсанах
Yıkanır  temizlenir	Питне çӑвать шӑлӑнать
Oyuna çıktığında	Вӑййа тухма шӗлкеме
Düğmeleri oynaşır	Кӑкӑрӗ çине çакать
Şıngır şıngır örtüsü	Шӑнкӑр шӑнкӑр теветне
Omuzundan savrulur	Хулпуççи урлӑ ярать
Al ipek mendili de	Хӗрлӗ пурçӑн тутӑрне
Kız gibi bağlanmıştır	Хӗрле çавӑрса çыхать
Dans ederkenki sesi	Вӑйӑсенче ун сасси
Kuş cıvıltısı gibi	Кайӑк сасси евӗр лӗ
Yüksek sesle gülünce	Ахӑлтатса кулнӑ чух
Sanki bir erkek sesi	Çиpӗп çЫН ку темелле
Oyun bitinceye dek	Вӑйӑ саланичченех  
Sevinç saçar sesiyle	Савӑнтарать сассипе
Sabah yıldızı doğar	Ирхи çӑлтӑр хӑпарса
Gülümser bir tepede	Йӑл йӑл кулать тўпере
Babasının evinde	Хӑйӑн ашшӗ килӗнче
Narspi mutlu  uyuyor	Нарспи канлӗ çЫвӑрать
Güzel düşler görüp de	Ырӑ тӗлӗксем курса
Düşünde seviniyor	Тӗлӗкре те савӗнать
Sabah kalkıp giyinir	Ирех тӑрать тумланать
Narspi işe girişir	Нарспи ӗçе тытӑнать
Ya ipek ip alıp da	E nypçӑН çип илет те
Türkü söyleyip işler	Юрла юрла тӗрӗ тӑвать
Ya dikişe oturup	Е çӗлеме ларать те
Boncuk boncuk dikiyor	Çӗвви шӑрçа пек пулать
İp kuyruklu çelik it	Сўс хўреллӗ xypçӑ йытӑ
Bir girip  bir çıkıyor	Пӗр кӗрет те пӗр тухать
Ya da bez dokur Narspi	Е пир тӗртме ларать те
Oynatarak mekiği	Вылянтарать ӑсине
Ya da makara tutar	Е хулт ӑрчӑ тытать те
Makaraya ip sarar	Çипнe тирет çӗррине
Seki üstünde kedi	Е сак çинчи кушакӗ
Yalayınca yüzünü	Питне çӑва пуçласан
Hazır öğle yemeği	Апат хатӗр хӑнашӑн
Çabuk eli ayağı	А лли ури çӑмӑлран
Çok güzel geçti hayat	Аван иртрӗ пурӑнӑç
Yaşı doluncaya dek	Хӗрӗн çулӗ туличчен
Yedi elden  yabandan	Ашшӗ килне хӑтана
Görücü gelene dek	Çичӗ ютран киличчен
Babacığı Miheter	Нарспи ашшӗ Михетер
Zengin yaşam sürüyor	Çӗpмe пуян пурӑнать
Çok da sevip kızını	Вӑл хӑй хӗрне юратать
Narspi’yle övünüyor;	Нарспиӗпе мухтанать
Kimde var böyle bir kız	Ман хӗр пекки камӑн пур
Kime kısmet böylesi	Кама пўрнӗ ун пек хӗр
Yok mu ayakkabısı	Пушмак çук и хӗрӗмӗн
Dolaşır mı takısız	Çypeт и вӑл тенкӗсӗр
Silpi köyü ömründe	Силпи ялӗ ӗмӗрне
Böyle bir kız görmemiş	Ун пек хӗрсем курас çук
Bir Çuvaş da kızına	Пӗр чӑваш та хӑй хӗрне
Onun gibi bakmamış	Михетер пек пӑхас çук
Miheter’in neyi yok	Михетере мӗн çитмен
Neyim yok  der  evimde	Мӗнӗм çук ши çуртӑмра
Gümüş para  ipek bez	Кӗмӗл тенкӗ тӗртнӗ пир
Az mı mahzenlerimde	Сахал шим мӗн çупçемре
Аrpа  buğday dopdolu	Тырӑ пулӑ туллиех
Azalır mı mahzende	Ишӗлмест и кӗлетре
Yağ  süt  peynir  içki  bal	Çy сӗт турӑх cӑp a пыл
Dolu durur kilerde	Тулли мар и нўхрепре
Doğru sözün yalanı yok	Чӑн сӑмахӑн суйи çук
Miheter’de ne eksik	Михетер ӗн мӗн çитмест
Köyün bir tek zengini	Пӗтӗм ялта пӗр пуян
Ona erişilir mi	Ӑна никам çитеймест
Evi benzer kaleye	Унӑн çурчӗ хула пек
Girsen uçsuz bucaksız	Кӗрсен витӗр тухма çук
Binanın tepesine	Хуралтисен тӗррине
Kuş uçsa erişemez	Чӑх чӗп вӗçсе çитме çук
Avlu dolu mal ile	Карташ тулли япала
Yığın yığın yatıyor	Купаланса выртаççӗ
Am bar dolu darıyla	Кӗлет тулли тыррисем
Taşmış gibi duruyor	Тӑкӑнас пек тӑраççӗ
Atlar urhamah gibi	Урхамах пек лашисем
Ot ve yulaf yiyorlar	Утӑ сӗлӗ çиеççӗ
Koyun ve kuzuları	Унӑн выльӑх чӗрлӗхсем
Fıçıya benziyorlar	Пичӗке пек çўреççӗ
Köyün üstündeki ev	Тури касри çак кил çурт
Uzaktan da görünür	Аякранах курӑнать
Bizim yaşlı Miheter	Пирӗн ватӑ Михетер
Hakkı ile övünür	Тивӗçлипе мухтанать
İyi insan Miheter	Çaк ырӑ çын Михетер
Çok severek kızını	Хӑйӗн хӗрне юратса
Śĭvarni arkasından	Аслӑ çӑварни хыççӑнах
Ona bir nişan yaptı	Хучӗ ӑна çураçса
Düğünüyse köylüler	Пулас туя ялйышсем
Sabırsızlıkla bekler	Тўсеймесӗр кӗтеççӗ
İki zengin düğünü	Икӗ пуян пӗрлешсен
Güzel de olur derler	Шеп те пулӗ туй    тeççӗ
Bayram ne gün gelecek	Çинçe хӑçан çитӗ ши
Zaman nasıl geçecek	Епле вӑхӑт ирттерес
Śimk günü uzak mı	Çнмӗk кунӗ инçе ши
Nasıl beklenilecek	Епле унчченех tўcec
Miheter’in evinde	Михетерӗн килӗнче
Armağanlar dikilir	Парне валли çӗлеççӗ
Büyük düğün uğruna	Туйан хӑватне сиссе
Tüm ev halkı yorulur	Вӑйран тухса ӗçлеççӗ
Fakat Narspi  sarı kız	Анчах Нарспи capӑ хӗр
Düğüne üzülüyor	Туй пуласран хурланать
Gizli gizli ağlayıp	Вӑрттӑн вӑрттӑн вӑл йӗрет
Setner’i anımsıyor	Сетнер ятне асӑнать
Köyün üst tarafında	Ял вӗçӗнче тукасра
Küçücük bir ev durur	Пӗчӗкçеççӗ пурт ларать
Annesiyle bu evde	Амӑшӗпе çак пўртре
Sevdiği Setner vardır	Сетнер ача пурӑнать
Güzel çocuk Setner’in	Чипер ача Сетнерӗн
Bir urhamah atı var	Пӗр урхамах лаши пур
Yaşlı bir annesiyle	Ватӑ карчӑк амӑш пур
Sıcacık yüreği var	Вӗри юнлӑ чӗри пур
İki güçlü eli var	Икӗ вӑйлӑ алли пур
Düşmanı yok edecek	Тӑшман пуçне пӗтерме
Alev gibi öfkesi	Вӗри вут пек çилли пур
Bundan başka Setner’in	Унтан урӑх Сетнерӗн
Bir şeyi yok dünyada	Нимӗн те çук япала
Ama dikkat Miheter	Анчах асту Михетер
Kızı vermez yoksula	Хӗрне памасть çукалл
Bizim Narspi  sarı kız	Пирӗн Нарспи сарӑ хӗр
Bu Setner’i seviyor	Çaв Сетнере юратать
O nedenle sarı kız	Çaв ӑнпала сарӑ хӗр
Düğüne üzülüyor	Туй пуласран хурланать
Yüksek oluk yanında	Çўлӗ Ьалак патӗнче
Yaşlı söğüt yeşerir	Ватӑ йӑмра ешерет
Sabah erken orada	Куллен ирех çавӑнта
Setner Narspi’yi bekler	Сетнер Нарспие кӗтет
Beklerken de su verir	Кӗте кӗте шӑварать
O urhamah atına	Урхамах пек лашине
Kovalarıyla gelir	Шыва анать витрепе
Narspi her gün yanına	Нарспи куллен ирхине
Narspi iki kovayla	Нарспи икӗ витрипе
Çıngır çıngır gelince	Шӑлтӑр шӑлтӑр килет çкe
Sevincinden Setner’in	Савӑннипе Сетнерӗн
Kalbi çarpar delice	Чӗри кӑлт кӑлт сикет  çкe
Narspi’nin dudakları	Нарспин çўxe тутисем
Uzaktan gülümsüyor	Кулаççӗ çке тaçтanax
Yüksek oluk başında	Çўлӗ валак пуçӗнче
Setner aydınlanıyor	Сетнер тӗрать çутӑлсах
Işıl ışıl gözlerle	Йӑлтӑр  ялтӑр куçӗсем
Kızın yüzüne bakar	Сарӑ хӗр çине пӑхаççӗ
Bıyıklı dudakları	Сар м ӗйӗхл ӗ тутисем
Sıcacık sözler söyler	Ӑшӑ сӑмах калаççӗ
Śimik Akşamı	Çимӗк Каçӗ
Çağıl çağıl su akar	Шӑнкӗртатса шыв юхать
Yüksek oluk başında	Çўлӗ валак пу çӗнче
Gümüş gibi de parlar	Кӗмӗл пекех ялтӑрать
Suyu güneş altında	Шывӗ хӗвел çуттинче
Başında örtüsüyle	Кӗмӗл мерчен тухъяпа
Sarı kız su doldurur	Сарӑ хӗрӗ шыв ӑсать
Sarı genç hem konuşup	Сарӑ каччӑ калаçса
Hem atına su verir	Хӑй лашине шӑварать
Yüksek söğüt üstünde	Çўлӗ йӑмра ӑшӗнче
Kuşlar cıvıldaşıyor	Кайӑк юрлать юррине
At su içip durdukça	Лаши ӗçсе тӑнӑçем
Setner de konuşuyor	Каччи калать сӑмахне
“Artık ben Narspi’çiğim	Çanлах вара Нарспиçӗм
Nasıl mutlu olurum	Çyк шим манӑн ӑрӑскалӑ
Ellere mi veriyor	Çаплах сана ют çӗре
Seni kötü insanlar	Илсе кайӗ шим усал
Ah  mutluluk imkansız	Ах телейӗм çук  тӑр çав
Çok zengin annen baban	Аçу аннў пит пуян
Zengin olduklarından	Хӑйсен пуянлӑхӗпе
Kaçıyorlar yoksuldan	Пӑрӑнаççӗ çук çынран
Setner’im öfkelenme	Ан ўпкелешсем Сетнер
Hiç kimselere kızma	Мӗншӗн çынна ўпкелес
Nasıl kaçabiliriz	Ӑçтa тарса каяс ха
Zenginse anne baba	Пуян атте аннерен
Annem babam akılsız	Атте анне ухмах çав
Nasıl kandıracağız	Мӗн каласа кӑнтарас
Ne yapacağız  söyle	Мӗн тӑвар ха кала ха
Ne çare bulacağız	Мӗнле пирӗн май тупас
Güneş battığı vakit	Хӗвел ансан каç пулсан
Düğünüm başlayacak	Паян туя лартаççӗ
Huşĭlkalı zenginle	Хушӑлкари пуянпа
Düğünüm kurulacak	Манӑн туя пуçлаççӗ
Düşman kötü  diyorlar	Тӑшман ытла хаяр тет
Nasıl kurtulacağız	Епле унтан хӑтӑлас
Setner’im hadi söyle	Сетнер Сетнер кала ха
Böyle ne olacağız	Ӑçтa каяс мӗн тӑвас
Mutluydum sınırsızca	Сана тем пек юратса
Seni sevdim yalnızca	Савса эпӗ пурӑнтӑм
Ne yazık ki genç yaşta	Анчах çапах çак куна
Gördüm işte bugünü	Çамрӑк пуçӑмпа куртӑм
Yapayalnız bir başım	Пӗртен пӗрех пуçӑм пур
Sıcacık yüreğim var	Вӗри юнлӑ чӗрем пур
Yaşlı bir anacığım	Ватӑ карчӑк аннем пур
Bir urhamah atım var	Урхамах пек утӑм пур
Hepsinden de değerli	Вӗсенчен те хаклӑрах
En sevgili sen varsın	Чунӑм савни эсӗ пур
Fakat bugün seni de	Анчах сана та паян
Düşman mı çekip alsın	Туртса илен тӑшман пур
Düşmanı yok edecek	Вӑл тӑшмана пӗтерме
İki güçlü elim var	Икӗ вӑйлӑ аллӑм пур
Onu yok etsem bile	Анчах ӑна пӗтерсен
Ondan kötü dünya var	Унтан усал тӗнче пур
Eğer sen de istersen	Хӑвӑн кӑмӑлу пулсан
Atımıza binelim	Лашам çинe лартӑттам
Uzaklara bu köyden	Аяккаллах ку ялтан
Uçalım da gidelim	Bӗçӗттӗм те кайӑттӑм
Setner  çabuk geri dön	Сетнер таврӑн хӑвӑртрах
Kadın suya iniyor	Шыва анать пӗр арӑм
Seninle konuşurken	Чун савнипе Kaлaçca
Zaman farkedilmiyor	Уйрӑлассӑн туймарӑм
Peki Narspi  sen sağ ol	Сывӑ пул эппин Нарспи
Ben garibi unutma	Ан ман эппин мӗскӗне
Atı şahlandı birden	Лаши сикрӗ ыткӑнчӗ
Uçup gitti evine	Вӗçсе кайрӗ килнелле
Narspi üzülüp ona	Нарспи ӑна хурланса
Bakakaldı ardından	Пӑхса юлчӗ хыçӗнчен
Donup kaldı yerinde	Хускалмарӗ вырӑнтан
Yitinceye dek gözden	Савни куçран кайиччен
Sağ ol Setner  sen sağ ol	Сывӑ пулах сывӑ пул
Unutabilir miyim	Епле сана манӑп ши
Seninle olmayıp da	Санпа пӗрле пулмасан
Hiç ele gider miyim	Епле ютра пулӑп ши
Niye bu yaşlar Narspi	Мӗншӗн Нарспи хуйхӑратӑн
Nişanlın çok mu yaşlı	Каччу ытла ватӑ им
Az mı armağanları	Парнў ытла сахал им
Geldi de kadın dedi	Терӗ арӑм çитрӗ те
Narspi suyu doldurup	Нарспи шывне ӑсрӗ те
Eve doğru yürüdü	Килне утрӗ хуйхӑрса
Setner için üzülüp	Килне çитрӗ йӗрсе ячӗ
Ağlamaya başladı	Сетнерӗшӗн хурланса
Evde yaşlı annesi	Пўртре ватӑ карч ӑкӗ
Boşuna söyleniyor	Вӑрçса çўрет ахалех
Miheter tek başına	Сиплет тулта Михетер
Araba onarıyor	Туй кўмине пӗчченех
Çalışır yaşlı adam	Ӗçлет ватӑ пуçӗпе
Baltayla ağaç keser	Пурттипеле каскалать
Sevgili kızı için	Савна хӗршӗн тӑрӑшса
Akıtır alnından ter	Пичӗ тӑрӑх тар юхать
Küçücükten büyüttüm	Мӗн кӗçӗнрен ўстертӗм
Getirdim bu zamana	ÇaK тарана çитерме
Şimdiyse bana düşen	Ӗнтӗ паян юлашки
Görev budur kızıma	Ӗçӗм пултӗр хӗрӗме
Gelinlik çağı geldi	Усрӗ çитрӗ пулчӗ хӗр
Zengin bir koca gerek	Пуян упӑшка кирлӗ
Bulundu bir nişanlı	Упӑшкине тупрӑмӑр
Araba iyi gerek	Кўми лайӑхрах кирлӗ
Çıkageldi śimik de	Çитрӗ ӗнтӗ çимӗк те
Düğünü yapılmalı	Хӗрӗн туйне тумалла
Eşi dostu toplayıp	Тантӑшӑмсем пухӑнсан
Gece düğün kurmalı	Кӗçӗр туйне лартмалла
Miheter’in evinde	Михетерӗн килӗнче
Döner içki fıçısı	Сӑра пичӗки кусать
Tüm insanların köyde	Ялти тантӑш тӑвансен
Irmak gibi boğazı	Пырӗ тӗпӗ ярӑнать
İki büyük sobada	Икӗ пысӑк кӑмака
Türlü yemekler pişer	Тӗрлӗ апат пӑсланать
Eşin dostun tüm köyde	Ялти тантӑш тӑвансен
Ağzından sular akar	Тута çӑвар çуланать
Kara evde çalgıcı	Хура пўртре шӑпӑрçӑ
Saza düzen veriyor	Ларать шӑпӑр тўрлетсе
Köydeki yiğitlerin	Ялти çамрӑк каччӑсен
Ayakları oynuyor	Ури каять çӗкленсе
Büyük diye bu düğün	Туйӑн хӑватн е кӗтсе
Herkes kanatlanıyor	Пурте вӗçсе çўреççӗ
Yalnız derdini kızın	Килти пӗр чун хуйхине
Hiç kimse anlamıyor	Пӗртте вӗсем сисмеççӗ
Oysa mutfakta Narspi	Нарспи ларать лаççинче
Gözleme yağlayarak	Икерчӗсем çуласа
Nişanlısını anar	Çypaçнипe асӑнса
Zavallı ağlayarak	Ларать мӗскӗн хуйхӑpca
Yedi kat bir yabancı	Çичӗ ютран килчӗ ют
Geldi babam evine	Атте килне хӑтана
Veriyor sarı kızı	Сарӑ хӗре çypaçaтb
Bir yabancı zengine	Çичӗ ютри пуяна
Annem  babam ivmeyin	Атте анне ан васкӑр
Bir yıl daha bekleyin	Тата пӗр çул тӑрӑр ха
Biricik kızınızı	Пӗртен пӗрех хӗрӗре
Bir yıl daha saklayın	Тата пӗр çул усрӑр  ха
Sarhoş anne babası	Атте анне ўсӗрпе
Kızı dinlemediler	Хӗрне итлес темерӗ
Nişanlısı zengin ya	Каччи пуян тенипе
Derdini bilm ediler	Хӗрин чунне пӗлмерӗ
Yaşlı yürek  katıdır	Ватӑ чун та хытнӑ чун
Katılaşmış keçedir	Хытса кайнӑ кӗççе çав
Genç yürek  minik yürek	Çамрӑк чун та пӗчӗк чун
Canı yumuşacıktır	Чунӗ ытла çемçе çав
Kuş yüreği olsa da	Кайӑк чунӗ пулсассӑн
Ağlasa hem gülse de	Йӗрӗччӗ те кулӗччӗ
Kanatları olsa da	Суначӗсем пулсассӑн
Uçuverse de gitse	Вӗçӗччӗ те кайӗччӗ
Gün battı kızararak	Хӗвел анчӗ хӗрелсе
Kara orman ardına	Хура вӑрман хыçнелле
Sürü indi koşarak	Кӗту анчӗ кӗрлесе
Büyük Silpi köyüne	Аслӑ Силпи ялнелле
Orada güzel kızlar	Ав унта хитре хӗрсем
Ardısıra koşuyor	Ӗни хыççӑн чупаççӗ
Delikanlılar ise	Чее маттур каччисем
Artlarında kalmıyor	Вӗсен хыççӑн юлмаççӗ
Bak bir adam koşuyor	Акӑ пӗр этем чупать
İneği böğürüyor	Ула ӗни мӗкӗрет
Domuzunu çağırıp	Сӗмcӗр сысни çухӑрать
Bütün köyü yıkıyor	Пӗтӗм яла çӗмӗрет
Sürünün arkasından	Кӗту xыççӑн урампа
Toz bulutu yükseldi	Хура тусан хӑпарать
Bu bulutun içinden	Акӑ тусан ӑшӗнче
Yaşlı kadın belirdi	Карчӑк аран çeç утать
Tek eliyle çekiyor	Хӑй вӑл хӑрах аллипе
O şarap fıçısını	Йӑтнӑ сӑра чӗресси
Ah  ne zor taşıması	Ах хай хӗн пек çӗклесси
